confidence,predicted label,ground truth,correct
0.9,E,D,False
0.8,C,C,True
0.8,B,D,False
0.9,C,C,True
0.9,D,D,True
0.9,C,E,False
0.95,C,C,True
0.7,B,B,True
1.0,A,A,True
0.9,E,E,True
0.7,C,C,True
0.95,C,C,True
0.8,D,D,True
0.9,D,D,True
0.85,E,E,True
0.8,C,C,True
0.9,E,E,True
0.85,B,B,True
0.9,E,E,True
0.95,E,C,False
0.9,A,E,False
0.9,D,A,False
1.0,C,C,True
0.95,A,A,True
0.9,E,E,True
0.9,E,E,True
0.95,D,D,True
0.9,E,E,True
0.8,B,B,True
0.8,B,B,True
0.9,D,C,False
0.75,C,C,True
0.9,D,D,True
0.9,B,B,True
0.9,A,B,False
0.9,C,D,False
0.7,A,A,True
0.9,B,B,True
0.9,E,E,True
0.6,D,D,True
0.95,C,C,True
0.95,E,E,True
0.85,A,A,True
0.95,E,E,True
0.8,E,E,True
0.9,D,D,True
0.8,A,A,True
1.0,C,C,True
1.0,A,C,False
0.7,C,C,True
0.8,C,C,True
0.95,D,D,True
0.95,E,E,True
0.95,D,D,True
0.8,C,C,True
0.9,A,A,True
0.8,B,B,True
0.8,D,A,False
0.95,D,D,True
0.9,B,B,True
0.9,B,C,False
0.8,E,E,True
0.95,A,A,True
0.9,D,D,True
0.95,A,A,True
0.7,B,B,True
1.0,E,E,True
0.95,C,C,True
0.9,D,D,True
0.7,E,C,False
0.95,D,D,True
0.95,C,C,True
0.95,C,A,False
0.9,C,C,True
0.9,E,C,False
0.85,B,B,True
0.8,B,E,False
0.9,A,A,True
0.9,D,D,True
0.9,B,B,True
0.9,E,B,False
0.8,B,D,False
0.95,C,C,True
0.9,C,C,True
0.9,A,A,True
0.9,C,A,False
0.85,C,C,True
0.9,B,B,True
0.9,C,C,True
0.9,A,A,True
0.7,A,A,True
0.7,A,D,False
0.9,E,E,True
0.6,A,A,True
0.8,B,E,False
0.9,E,A,False
0.7,A,A,True
0.7,D,D,True
0.9,E,B,False
0.8,D,D,True
0.95,A,A,True
1.0,D,D,True
0.9,C,B,False
0.8,A,A,True
0.8,D,D,True
0.9,A,A,True
0.95,D,D,True
1.0,C,C,True
0.9,A,A,True
0.75,D,C,False
0.9,C,C,True
0.9,A,C,False
0.7,C,C,True
0.9,E,D,False
0.9,A,A,True
0.8,B,A,False
0.95,B,B,True
0.95,A,A,True
0.9,D,D,True
0.95,C,C,True
0.9,C,C,True
0.8,E,B,False
0.9,E,E,True
0.9,A,A,True
0.9,C,C,True
0.9,D,D,True
0.95,A,B,False
0.95,A,B,False
0.8,E,C,False
0.9,E,E,True
0.95,C,C,True
0.9,A,A,True
0.8,A,A,True
0.95,C,E,False
0.9,C,C,True
0.9,E,B,False
0.9,D,A,False
1.0,D,D,True
0.8,B,B,True
0.8,A,E,False
0.95,A,A,True
0.9,A,D,False
0.8,D,D,True
0.85,B,E,False
0.9,E,B,False
0.9,E,E,True
0.9,B,A,False
0.9,C,C,True
0.8,C,D,False
1.0,A,A,True
0.95,A,A,True
0.9,B,B,True
1.0,B,B,True
0.9,C,A,False
0.8,D,D,True
0.9,E,E,True
0.8,A,A,True
0.5,E,E,True
0.75,D,E,False
0.8,A,A,True
1.0,C,C,True
0.9,C,C,True
0.9,C,C,True
1.0,E,E,True
0.8,B,C,False
0.85,B,B,True
0.9,D,E,False
0.9,D,D,True
0.9,C,C,True
0.8,A,C,False
0.9,B,B,True
0.8,A,A,True
0.7,E,D,False
0.95,E,A,False
0.95,D,D,True
0.95,D,D,True
0.8,A,A,True
0.9,B,B,True
0.7,B,B,True
0.95,A,E,False
0.6,C,C,True
1.0,C,C,True
0.95,E,A,False
0.95,C,B,False
1.0,A,B,False
0.9,A,A,True
0.8,C,C,True
0.95,D,D,True
0.85,D,D,True
0.95,B,B,True
0.9,E,A,False
0.95,D,D,True
0.5,C,C,True
0.8,A,A,True
0.8,B,B,True
0.9,B,B,True
0.9,A,C,False
0.8,D,B,False
1.0,B,B,True
0.8,C,C,True
0.8,E,E,True
1.0,D,D,True
0.9,B,B,True
0.7,A,A,True
0.9,D,D,True
0.8,C,C,True
0.7,C,C,True
0.9,E,E,True
0.9,B,B,True
0.9,D,B,False
0.8,E,E,True
0.95,C,C,True
0.9,A,A,True
1.0,C,C,True
0.9,B,B,True
0.9,A,A,True
0.75,E,C,False
0.9,A,E,False
0.7,D,D,True
0.7,C,D,False
0.95,D,D,True
0.95,C,C,True
0.9,D,D,True
0.9,A,E,False
0.9,B,B,True
0.9,E,C,False
0.95,B,B,True
0.9,D,D,True
0.9,C,B,False
1.0,E,E,True
0.9,B,B,True
0.8,A,A,True
0.9,C,C,True
0.95,B,B,True
0.8,C,C,True
0.9,A,E,False
0.8,D,D,True
0.8,A,A,True
0.6,B,E,False
0.7,A,A,True
0.95,A,A,True
0.9,A,A,True
1.0,E,B,False
0.8,C,C,True
0.85,E,E,True
0.9,A,A,True
0.7,C,A,False
0.95,C,C,True
0.9,E,E,True
0.95,E,E,True
1.0,C,B,False
0.9,A,D,False
0.95,A,A,True
0.9,E,D,False
0.95,C,D,False
0.9,E,E,True
0.8,A,C,False
0.8,E,E,True
1.0,E,D,False
0.8,E,A,False
0.8,E,B,False
0.9,A,A,True
0.8,E,E,True
0.95,E,E,True
1.0,E,E,True
0.95,A,A,True
0.9,E,E,True
0.9,A,C,False
0.9,E,E,True
0.8,D,D,True
0.9,E,D,False
0.9,A,A,True
0.9,C,A,False
0.95,E,E,True
1.0,B,B,True
0.85,A,A,True
1.0,E,E,True
0.95,D,D,True
0.8,C,C,True
0.95,B,C,False
0.9,C,C,True
0.99,A,A,True
1.0,C,C,True
0.7,C,A,False
0.9,C,C,True
0.9,D,D,True
0.9,A,A,True
0.9,B,D,False
0.9,D,D,True
0.75,C,E,False
0.9,B,B,True
0.95,D,D,True
0.95,C,B,False
0.8,D,D,True
0.9,B,B,True
0.9,E,E,True
1.0,C,C,True
0.95,E,E,True
1.0,D,D,True
0.9,A,C,False
0.75,D,D,True
0.9,E,C,False
1.0,C,C,True
0.95,B,A,False
0.95,B,A,False
0.9,C,B,False
0.9,B,B,True
0.9,C,C,True
0.7,C,C,True
0.8,C,D,False
0.95,D,D,True
0.8,D,D,True
1.0,E,E,True
0.8,C,C,True
1.0,D,D,True
0.9,C,C,True
0.95,C,B,False
0.9,D,D,True
0.99,A,A,True
0.9,E,D,False
0.8,C,E,False
0.8,B,A,False
0.9,B,E,False
0.8,D,D,True
0.9,E,A,False
0.95,C,C,True
0.95,E,E,True
0.9,C,C,True
0.9,A,A,True
0.9,A,C,False
0.9,C,C,True
0.95,A,A,True
0.9,E,E,True
0.85,E,C,False
0.95,A,A,True
0.85,D,D,True
1.0,A,A,True
0.8,C,C,True
0.8,B,B,True
0.6,B,B,True
0.95,C,C,True
0.8,C,B,False
0.95,D,D,True
0.66,E,D,False
1.0,D,D,True
1.0,E,E,True
0.8,A,D,False
0.8,E,E,True
0.9,C,C,True
0.9,D,A,False
0.7,A,A,True
0.9,A,D,False
0.95,E,E,True
0.2,A,D,False
0.9,D,D,True
0.8,A,E,False
0.9,D,D,True
0.8,D,E,False
0.8,B,B,True
0.9,D,A,False
0.9,E,D,False
0.95,B,E,False
0.7,B,B,True
0.8,D,D,True
1.0,C,C,True
0.9,E,C,False
0.85,C,C,True
0.8,C,C,True
0.85,A,A,True
0.9,E,E,True
0.95,C,C,True
0.9,B,B,True
0.9,A,A,True
0.95,D,E,False
0.8,C,B,False
0.9,E,E,True
0.9,D,D,True
0.99,D,D,True
0.8,D,D,True
0.9,D,D,True
0.9,C,A,False
0.9,E,E,True
0.9,A,A,True
0.95,E,E,True
0.9,A,A,True
1.0,A,A,True
0.9,A,A,True
0.9,D,D,True
0.7,A,A,True
0.95,D,D,True
0.7,B,A,False
0.8,E,C,False
0.9,B,B,True
0.9,E,B,False
0.8,C,C,True
0.95,D,D,True
1.0,A,A,True
0.9,B,E,False
0.9,C,C,True
0.9,A,B,False
0.9,C,C,True
0.8,E,C,False
0.95,C,B,False
0.95,D,D,True
0.9,E,E,True
1.0,A,A,True
0.7,A,A,True
0.99,A,A,True
0.9,C,C,True
0.9,A,E,False
0.9,C,C,True
0.9,A,D,False
0.9,C,C,True
0.1,D,C,False
0.9,C,A,False
0.8,E,E,True
0.9,A,E,False
0.9,B,B,True
0.9,A,D,False
0.9,D,D,True
0.9,C,A,False
0.8,C,E,False
0.9,E,E,True
1.0,E,E,True
0.9,C,B,False
0.9,D,D,True
0.9,B,C,False
0.7,E,C,False
0.95,A,A,True
0.8,E,C,False
0.85,B,C,False
0.8,D,A,False
1.0,D,C,False
1.0,C,C,True
0.9,D,B,False
0.8,A,A,True
0.8,D,D,True
1.0,B,B,True
0.95,C,C,True
0.6,D,E,False
0.95,A,E,False
0.8,B,B,True
0.9,B,C,False
0.9,A,A,True
0.7,A,A,True
0.6,A,C,False
0.85,A,B,False
0.9,E,E,True
0.85,D,D,True
0.8,C,C,True
0.9,D,D,True
1.0,D,D,True
0.95,B,B,True
0.8,A,E,False
0.8,E,E,True
0.9,A,E,False
0.9,D,D,True
1.0,A,A,True
0.9,D,D,True
0.8,E,E,True
1.0,D,D,True
0.8,B,B,True
0.9,D,B,False
0.7,C,C,True
0.8,D,C,False
0.95,A,A,True
0.9,D,D,True
0.75,C,B,False
0.8,C,B,False
0.9,B,B,True
0.9,D,D,True
0.9,E,E,True
0.75,D,D,True
0.9,D,D,True
0.9,E,E,True
0.85,D,D,True
0.95,A,A,True
0.9,D,A,False
0.9,D,D,True
0.8,C,E,False
0.9,D,D,True
0.85,A,A,True
0.9,D,D,True
0.9,D,B,False
0.9,B,B,True
0.95,A,A,True
1.0,D,D,True
1.0,B,B,True
0.95,A,C,False
0.9,A,A,True
0.9,B,B,True
1.0,D,E,False
0.95,B,B,True
0.7,B,D,False
0.9,D,E,False
0.95,B,B,True
1.0,E,E,True
0.8,C,C,True
0.8,A,B,False
1.0,C,E,False
1.0,D,C,False
0.85,A,A,True
1.0,D,D,True
0.8,E,E,True
0.9,C,D,False
0.8,B,C,False
0.8,A,A,True
0.95,E,E,True
0.95,B,B,True
0.9,D,D,True
0.9,C,E,False
1.0,E,E,True
0.8,D,C,False
0.8,D,D,True
0.95,B,B,True
0.9,B,C,False
0.8,A,A,True
0.9,C,C,True
0.9,B,B,True
0.85,C,B,False
0.95,E,E,True
0.95,A,A,True
0.9,A,B,False
0.7,B,B,True
0.85,A,A,True
0.9,C,D,False
0.9,C,A,False
0.85,A,A,True
1.0,E,A,False
1.0,A,A,True
0.7,A,C,False
0.8,E,C,False
0.9,D,D,True
0.8,C,E,False
0.8,E,E,True
0.9,E,E,True
0.9,E,E,True
0.8,A,E,False
0.7,E,E,True
0.9,C,C,True
1.0,B,B,True
0.9,A,A,True
0.85,C,B,False
0.8,C,B,False
0.95,B,B,True
0.98,A,D,False
0.8,D,D,True
1.0,A,A,True
0.9,B,B,True
0.95,C,C,True
0.9,C,C,True
0.9,C,C,True
0.95,A,A,True
0.9,B,C,False
0.8,B,B,True
0.8,A,A,True
0.8,D,D,True
0.95,A,A,True
0.75,B,B,True
0.95,B,B,True
0.9,D,D,True
0.9,D,A,False
0.95,D,B,False
0.8,A,A,True
0.9,A,B,False
0.9,C,C,True
0.85,C,C,True
0.9,C,C,True
0.9,E,E,True
0.7,E,B,False
0.75,D,D,True
0.8,C,B,False
0.8,C,D,False
0.9,A,A,True
1.0,D,D,True
0.8,A,A,True
0.8,C,C,True
0.9,B,A,False
0.9,E,E,True
0.95,C,C,True
1.0,B,B,True
1.0,E,E,True
0.6,A,A,True
0.7,B,E,False
0.9,C,C,True
0.9,B,B,True
0.95,C,C,True
0.8,D,D,True
0.9,A,A,True
0.8,C,E,False
0.8,D,E,False
0.9,E,D,False
0.9,B,B,True
0.9,E,E,True
0.85,E,A,False
0.85,D,E,False
0.95,C,D,False
0.7,B,B,True
1.0,E,E,True
0.8,D,D,True
0.8,C,D,False
0.5,A,E,False
0.95,B,B,True
0.8,A,C,False
0.8,E,E,True
0.9,E,E,True
0.9,A,A,True
0.9,E,E,True
0.75,C,E,False
0.95,E,E,True
0.95,B,B,True
0.9,A,A,True
1.0,B,B,True
0.95,B,E,False
0.9,B,B,True
1.0,B,B,True
0.9,D,B,False
0.65,C,B,False
0.8,B,B,True
0.8,E,E,True
0.95,D,D,True
1.0,C,C,True
0.9,E,D,False
0.9,D,D,True
0.9,A,B,False
0.8,C,C,True
0.9,D,E,False
0.95,C,C,True
0.7,A,A,True
1.0,B,B,True
0.95,A,A,True
0.6,A,C,False
0.95,C,C,True
1.0,D,D,True
0.95,D,D,True
0.9,B,B,True
1.0,C,C,True
0.95,D,D,True
0.9,D,D,True
0.75,E,E,True
0.8,A,D,False
0.9,C,C,True
0.95,C,C,True
0.9,D,D,True
0.9,C,C,True
0.9,D,A,False
0.95,E,E,True
0.95,D,D,True
0.9,D,D,True
0.95,E,E,True
0.95,A,A,True
0.9,B,B,True
0.9,E,E,True
0.95,D,D,True
0.95,B,D,False
0.9,C,C,True
0.95,D,D,True
0.8,A,B,False
0.8,A,A,True
0.8,A,A,True
0.8,E,E,True
0.8,D,D,True
0.8,B,B,True
0.9,B,B,True
1.0,D,D,True
0.95,C,B,False
1.0,A,E,False
0.95,E,E,True
0.8,A,B,False
0.9,C,C,True
0.9,B,D,False
0.8,E,E,True
0.9,E,C,False
0.95,A,A,True
0.7,D,D,True
0.8,A,A,True
0.9,D,A,False
0.8,B,C,False
0.95,C,E,False
0.9,D,D,True
0.9,A,A,True
0.9,A,A,True
0.9,C,C,True
0.95,D,C,False
0.9,A,B,False
0.9,B,B,True
0.8,D,D,True
0.9,D,D,True
0.9,B,B,True
0.9,E,E,True
0.9,D,A,False
0.7,D,D,True
0.95,D,D,True
0.7,C,C,True
1.0,A,A,True
0.9,C,C,True
0.85,B,B,True
0.7,B,B,True
1.0,D,D,True
0.9,E,E,True
0.8,C,C,True
0.8,D,E,False
1.0,E,E,True
1.0,A,A,True
0.75,D,D,True
0.9,C,D,False
0.9,C,C,True
0.7,A,B,False
0.9,B,C,False
0.9,C,B,False
0.9,B,B,True
0.99,A,A,True
0.5,C,A,False
0.85,A,A,True
0.9,C,C,True
0.9,D,C,False
0.7,C,D,False
0.9,D,A,False
0.9,D,C,False
1.0,C,C,True
0.9,C,C,True
0.8,A,A,True
0.8,E,E,True
0.8,C,E,False
0.7,D,D,True
0.9,D,D,True
0.9,A,A,True
0.9,C,C,True
0.8,A,A,True
0.9,A,A,True
0.85,A,A,True
0.8,E,E,True
1.0,C,C,True
0.95,D,E,False
0.7,C,C,True
0.7,A,A,True
0.95,B,C,False
0.9,C,E,False
0.75,D,D,True
0.8,D,D,True
0.7,C,D,False
0.9,B,C,False
0.85,B,B,True
0.8,B,B,True
0.8,B,B,True
0.95,C,C,True
0.95,E,E,True
0.9,A,A,True
0.8,A,E,False
0.8,B,A,False
0.9,C,C,True
0.8,C,E,False
0.7,A,A,True
0.9,C,C,True
1.0,E,E,True
0.8,A,B,False
0.9,E,E,True
0.7,B,B,True
0.8,E,E,True
0.9,B,B,True
1.0,C,C,True
0.6,A,A,True
1.0,C,E,False
0.99,D,D,True
1.0,E,E,True
0.9,B,B,True
1.0,C,C,True
0.8,A,A,True
0.9,C,D,False
0.8,B,B,True
0.8,D,E,False
0.9,C,C,True
0.6,D,D,True
0.8,C,C,True
0.9,C,C,True
0.9,C,C,True
0.95,A,A,True
0.9,A,A,True
0.9,B,E,False
0.85,A,C,False
0.95,E,E,True
0.8,A,E,False
0.9,A,A,True
0.95,E,D,False
0.9,D,D,True
0.99,B,B,True
0.8,A,A,True
0.9,B,C,False
